run,features,asset,horizon,MAE,RMSE,sMAPE,DA
SUPERVISED,aug,BTC,1,0.7871279120445251,1.0168452262878418,14.381270408630371,0.48956355452537537
SUPERVISED,aug,DOGE,1,0.17542649805545807,0.23696169257164001,11.342164039611816,0.5161290168762207
SUPERVISED,aug,ETH,1,0.23836615681648254,0.3351609706878662,13.124646186828613,0.5104364156723022
SUPERVISED,aug,LTC,1,0.11046517640352249,0.1459728479385376,38.24067306518555,0.5313093066215515
SUPERVISED,aug,XRP,1,0.5948286056518555,0.9119960069656372,16.284271240234375,0.5104364156723022
SUPERVISED,aug,BTC,3,0.8046699166297913,1.0308054685592651,14.810334205627441,0.4590476155281067
SUPERVISED,aug,DOGE,3,0.21024298667907715,0.29896312952041626,13.774998664855957,0.5199999809265137
SUPERVISED,aug,ETH,3,0.2670590281486511,0.3674284517765045,14.682027816772461,0.5161904692649841
SUPERVISED,aug,LTC,3,0.11917190998792648,0.16104331612586975,39.973907470703125,0.5352380871772766
SUPERVISED,aug,XRP,3,0.6271182298660278,0.9553327560424805,18.414535522460938,0.5447618961334229
SUPERVISED,aug,BTC,7,0.8352147936820984,1.0559083223342896,15.530586242675781,0.4529750347137451
SUPERVISED,aug,DOGE,7,0.2617807686328888,0.3973938226699829,17.171764373779297,0.5547025203704834
SUPERVISED,aug,ETH,7,0.31416863203048706,0.4272485375404358,16.971664428710938,0.48176583647727966
SUPERVISED,aug,LTC,7,0.14668428897857666,0.1975233256816864,46.48502731323242,0.5278310775756836
SUPERVISED,aug,XRP,7,0.6869109869003296,1.0472368001937866,22.429616928100586,0.5067178606987
