asset,split,horizon,regime,samples
BTC,train,1,low,1481
BTC,train,1,mid,1527
BTC,train,1,high,1479
BTC,train,3,low,1481
BTC,train,3,mid,1527
BTC,train,3,high,1477
BTC,train,7,low,1481
BTC,train,7,mid,1527
BTC,train,7,high,1473
BTC,val,1,low,4
BTC,val,1,mid,68
BTC,val,1,high,229
BTC,val,3,low,4
BTC,val,3,mid,68
BTC,val,3,high,227
BTC,val,7,low,4
BTC,val,7,mid,68
BTC,val,7,high,223
BTC,test,1,low,80
BTC,test,1,mid,136
BTC,test,1,high,311
BTC,test,3,low,80
BTC,test,3,mid,136
BTC,test,3,high,309
BTC,test,7,low,80
BTC,test,7,mid,136
BTC,test,7,high,305
DOGE,train,1,low,763
DOGE,train,1,mid,786
DOGE,train,1,high,762
DOGE,train,3,low,763
DOGE,train,3,mid,786
DOGE,train,3,high,760
DOGE,train,7,low,763
DOGE,train,7,mid,786
DOGE,train,7,high,756
DOGE,val,1,low,47
DOGE,val,1,mid,112
DOGE,val,1,high,142
DOGE,val,3,low,47
DOGE,val,3,mid,112
DOGE,val,3,high,140
DOGE,val,7,low,47
DOGE,val,7,mid,108
DOGE,val,7,high,140
DOGE,test,1,low,165
DOGE,test,1,mid,250
DOGE,test,1,high,112
DOGE,test,3,low,165
DOGE,test,3,mid,248
DOGE,test,3,high,112
DOGE,test,7,low,165
DOGE,test,7,mid,244
DOGE,test,7,high,112
ETH,train,1,low,873
ETH,train,1,mid,896
ETH,train,1,high,871
ETH,train,3,low,873
ETH,train,3,mid,896
ETH,train,3,high,869
ETH,train,7,low,873
ETH,train,7,mid,896
ETH,train,7,high,865
ETH,val,1,low,72
ETH,val,1,mid,80
ETH,val,1,high,149
ETH,val,3,low,72
ETH,val,3,mid,78
ETH,val,3,high,149
ETH,val,7,low,72
ETH,val,7,mid,74
ETH,val,7,high,149
ETH,test,1,low,96
ETH,test,1,mid,236
ETH,test,1,high,195
ETH,test,3,low,96
ETH,test,3,mid,234
ETH,test,3,high,195
ETH,test,7,low,96
ETH,test,7,mid,230
ETH,test,7,high,195
LTC,train,1,low,1088
LTC,train,1,mid,1117
LTC,train,1,high,1085
LTC,train,3,low,1088
LTC,train,3,mid,1116
LTC,train,3,high,1084
LTC,train,7,low,1088
LTC,train,7,mid,1112
LTC,train,7,high,1084
LTC,val,1,low,120
LTC,val,1,mid,108
LTC,val,1,high,73
LTC,val,3,low,120
LTC,val,3,mid,108
LTC,val,3,high,71
LTC,val,7,low,120
LTC,val,7,mid,108
LTC,val,7,high,67
LTC,test,1,low,248
LTC,test,1,mid,113
LTC,test,1,high,166
LTC,test,3,low,248
LTC,test,3,mid,113
LTC,test,3,high,164
LTC,test,7,low,248
LTC,test,7,mid,113
LTC,test,7,high,160
XRP,train,1,low,937
XRP,train,1,mid,965
XRP,train,1,high,933
XRP,train,3,low,937
XRP,train,3,mid,965
XRP,train,3,high,931
XRP,train,7,low,937
XRP,train,7,mid,965
XRP,train,7,high,927
XRP,val,1,low,94
XRP,val,1,mid,102
XRP,val,1,high,105
XRP,val,3,low,94
XRP,val,3,mid,100
XRP,val,3,high,105
XRP,val,7,low,92
XRP,val,7,mid,98
XRP,val,7,high,105
XRP,test,1,low,235
XRP,test,1,mid,174
XRP,test,1,high,118
XRP,test,3,low,235
XRP,test,3,mid,174
XRP,test,3,high,116
XRP,test,7,low,235
XRP,test,7,mid,174
XRP,test,7,high,112
