asset,horizon,idx,resid
BTC,1,471,1.9585347175598145
BTC,1,472,1.9704246520996094
BTC,1,475,1.9516162872314453
BTC,1,478,1.9421186447143555
BTC,1,487,2.0576844215393066
BTC,1,498,2.004915714263916
DOGE,1,250,0.7423596382141113
DOGE,1,251,0.6235365867614746
DOGE,1,252,0.8488268852233887
DOGE,1,262,0.5186803340911865
DOGE,1,280,-0.7827334403991699
DOGE,1,286,-0.5654256343841553
ETH,1,76,0.5735002756118774
ETH,1,280,-0.4563610553741455
ETH,1,315,-0.42053091526031494
ETH,1,381,0.3967199921607971
ETH,1,487,0.6696963310241699
ETH,1,490,-0.47365665435791016
LTC,1,6,0.29909804463386536
LTC,1,24,0.227510005235672
LTC,1,271,0.3156832456588745
LTC,1,272,0.2566562294960022
LTC,1,279,-0.3357066512107849
LTC,1,315,-0.23519223928451538
XRP,1,280,2.4437522888183594
XRP,1,314,2.5711231231689453
XRP,1,451,2.6748790740966797
XRP,1,455,2.335939884185791
XRP,1,472,2.5591959953308105
XRP,1,473,2.4142141342163086
BTC,3,471,2.5829105377197266
BTC,3,475,2.53726863861084
BTC,3,476,2.5286221504211426
BTC,3,485,2.5864720344543457
BTC,3,523,2.5361642837524414
BTC,3,524,2.5165181159973145
DOGE,3,249,1.3147695064544678
DOGE,3,250,1.9615815877914429
DOGE,3,251,1.227581262588501
DOGE,3,261,1.3730206489562988
DOGE,3,262,1.189103126525879
DOGE,3,279,-1.2195069789886475
ETH,3,75,0.6581900119781494
ETH,3,76,0.7175195217132568
ETH,3,278,-0.8412551879882812
ETH,3,279,-0.916433572769165
ETH,3,381,0.703132152557373
ETH,3,485,0.6911609172821045
LTC,3,269,0.3736642599105835
LTC,3,270,0.5023163557052612
LTC,3,271,0.4634459614753723
LTC,3,277,-0.3736634850502014
LTC,3,284,-0.37168455123901367
LTC,3,285,-0.3505004048347473
XRP,3,270,3.296614646911621
XRP,3,280,2.9639148712158203
XRP,3,449,3.229485511779785
XRP,3,450,3.110713481903076
XRP,3,453,3.0050158500671387
XRP,3,471,2.9996747970581055
BTC,7,442,3.28963565826416
BTC,7,467,3.3633432388305664
BTC,7,468,3.3507795333862305
BTC,7,469,3.347208023071289
BTC,7,471,3.487391948699951
BTC,7,472,3.5468854904174805
DOGE,7,245,1.7709766626358032
DOGE,7,246,2.36818265914917
DOGE,7,247,1.9605824947357178
DOGE,7,248,1.7992914915084839
DOGE,7,249,1.725117802619934
DOGE,7,257,1.6141777038574219
ETH,7,245,0.8733417987823486
ETH,7,275,-0.9828627109527588
ETH,7,277,-0.9699633121490479
ETH,7,279,-0.920677661895752
ETH,7,285,-0.8910534381866455
ETH,7,468,0.9528980255126953
LTC,7,273,-0.7178595662117004
LTC,7,274,-0.5453526973724365
LTC,7,275,-0.6205253601074219
LTC,7,284,-0.6925815939903259
LTC,7,285,-0.6619843244552612
LTC,7,315,-0.5874508023262024
XRP,7,266,4.034201622009277
XRP,7,445,4.364405632019043
XRP,7,447,4.001400947570801
XRP,7,448,4.18846321105957
XRP,7,449,4.333746910095215
XRP,7,450,4.299142837524414
