horizon,feature,mean_IG
1,z,2.2333122968673704
1,vol14,0.1225723683834076
1,dz,0.06703679114580155
1,dist_ma20_z,0.05718170292675495
1,macd_z,0.05055216979235411
1,rsi14,0.0121866000816226
3,z,2.172293317317963
3,vol14,0.16659375727176667
3,dist_ma20_z,0.11284206062555313
3,dz,0.08196367174386979
3,macd_z,0.06695902645587921
3,rsi14,0.01693611741065979
7,z,1.8903152585029601
7,vol14,0.23526786342263223
7,dz,0.1578764520585537
7,macd_z,0.06445819921791554
7,dist_ma20_z,0.05361284874379635
7,rsi14,0.03373275026679039
