asset,horizon,model,params
BTC,1,LSTM,54657
BTC,1,KAN-spline,289
BTC,3,LSTM,54657
BTC,3,KAN-spline,289
BTC,7,LSTM,54657
BTC,7,KAN-spline,289
LTC,1,LSTM,54657
LTC,1,KAN-spline,289
LTC,3,LSTM,54657
LTC,3,KAN-spline,289
LTC,7,LSTM,54657
LTC,7,KAN-spline,289
XRP,1,LSTM,54657
XRP,1,KAN-spline,289
XRP,3,LSTM,54657
XRP,3,KAN-spline,289
XRP,7,LSTM,54657
XRP,7,KAN-spline,289
ETH,1,LSTM,54657
ETH,1,KAN-spline,289
ETH,3,LSTM,54657
ETH,3,KAN-spline,289
ETH,7,LSTM,54657
ETH,7,KAN-spline,289
DOGE,1,LSTM,54657
DOGE,1,KAN-spline,289
DOGE,3,LSTM,54657
DOGE,3,KAN-spline,289
DOGE,7,LSTM,54657
DOGE,7,KAN-spline,289
