asset,split,horizon,n_windows,ok_time,ok_ratio
BTC,train,1,4487,4487,1.0
BTC,train,3,4485,4485,1.0
BTC,train,7,4481,4481,1.0
BTC,val,1,301,301,1.0
BTC,val,3,299,299,1.0
BTC,val,7,295,295,1.0
BTC,test,1,527,527,1.0
BTC,test,3,525,525,1.0
BTC,test,7,521,521,1.0
DOGE,train,1,2311,2311,1.0
DOGE,train,3,2309,2309,1.0
DOGE,train,7,2305,2305,1.0
DOGE,val,1,301,301,1.0
DOGE,val,3,299,299,1.0
DOGE,val,7,295,295,1.0
DOGE,test,1,527,527,1.0
DOGE,test,3,525,525,1.0
DOGE,test,7,521,521,1.0
ETH,train,1,2640,2640,1.0
ETH,train,3,2638,2638,1.0
ETH,train,7,2634,2634,1.0
ETH,val,1,301,301,1.0
ETH,val,3,299,299,1.0
ETH,val,7,295,295,1.0
ETH,test,1,527,527,1.0
ETH,test,3,525,525,1.0
ETH,test,7,521,521,1.0
LTC,train,1,3290,3290,1.0
LTC,train,3,3288,3288,1.0
LTC,train,7,3284,3284,1.0
LTC,val,1,301,301,1.0
LTC,val,3,299,299,1.0
LTC,val,7,295,295,1.0
LTC,test,1,527,527,1.0
LTC,test,3,525,525,1.0
LTC,test,7,521,521,1.0
XRP,train,1,2835,2835,1.0
XRP,train,3,2833,2833,1.0
XRP,train,7,2829,2829,1.0
XRP,val,1,301,301,1.0
XRP,val,3,299,299,1.0
XRP,val,7,295,295,1.0
XRP,test,1,527,527,1.0
XRP,test,3,525,525,1.0
XRP,test,7,521,521,1.0
